id,reporter,report-time,last-modified,status,priority,severity,product,component,summary/subject/title,class,expected result,observed/actual result,reproducible,steps to reproduce,manual,llama,qwen,qwen-coder,link
2258913,Pádraig Brady,2024-01-18T00:35:48Z,2024-01-23T00:58:31Z,CLOSED ERRATA,medium,medium,Fedora,coreutils,heap overflow in split --line-bytes with very long lines [fedora-all],normal,split -C should correctly handle large input sizes without causing memory corruption,"A heap overflow occurs when processing large inputs, potentially leading to a crash or security vulnerability",Always,"{ printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in  
split -C 131072 ---io=131072 in","{ printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in  
split -C 131072 ---io=131072 in","```bash
{ printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in; split -C 131072 ---io=131072 in
```","{ printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in
split -C 131072 ---io=131072 in","```bash
{ printf '%131070s\n' ''; printf 'x\n'; printf '%131071s\n' ''; } > in
split -C 131072 ---io=131072 in
```",https://bugzilla.redhat.com/show_bug.cgi?id=2258913
2256513,Edgar Hoch,2024-01-02T20:18:59Z,2024-01-03T08:27:15Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,coreutils no longer provides /bin/ln,normal,,,Always,,,"```bash
rpm -q --whatprovides /bin/ln
```",,"```bash
rpm -qf /bin/ln
```",https://bugzilla.redhat.com/show_bug.cgi?id=2256513
2248503,Harald Reindl,2023-11-07T12:26:29Z,2023-11-07T12:52:36Z,CLOSED DUPLICATE,unspecified,unspecified,Fedora,coreutils,uname -i don't work,normal,x86_64,breaking scripts,Always,uname -i,uname -i,uname -i,,uname -i,https://bugzilla.redhat.com/show_bug.cgi?id=2248503
2160675,Ondrej,2023-01-13T09:36:16Z,2023-09-21T00:15:45Z,CLOSED ERRATA,unspecified,unspecified,Fedora,coreutils,[RFE] cp -p should copy NFSv4 acls,,,,Never,,,,,,https://bugzilla.redhat.com/show_bug.cgi?id=2160675
1121021,vikram goyal,2014-07-18T08:04:22Z,2023-09-14T02:11:42Z,CLOSED INSUFFICIENT_DATA,unspecified,unspecified,Fedora,coreutils,coreutils-8.21-21.fc20.x86_64 df (executed by root) does not show fuse.sshfs mount,normal,command 'mount' as a normal user & as root shows the fuse mount in output,"[vikram@mail2 ~]$ df
Filesystem                1K-blocks      Used Available Use% Mounted on
/dev/sdb6                 153942744  66849904  84503912  45% /
devtmpfs                    1520368         0   1520368   0% /dev
tmpfs                       1527604     99060   1428544   7% /dev/shm
tmpfs                       1527604       932   1526672   1% /run
tmpfs                       1527604         0   1527604   0% /sys/fs/cgroup
tmpfs                       1527604       708   1526896   1% /tmp
/dev/sda1                   1515376    172140   1248212  13% /boot
/dev/dm-0                 330327632 240421328  87183640  74% /home/vikram
root.XXX.XXX:/root  51606140   3660076  45324624   8% /home/vikram/someremoteloc


[root@mail2 ~]# df
Filesystem                1K-blocks      Used Available Use% Mounted on
/dev/sdb6                 153942744  66850280  84503560  45% /
devtmpfs                    1520368         0   1520368   0% /dev
tmpfs                       1527604     99060   1428544   7% /dev/shm
tmpfs                       1527604       932   1526672   1% /run
tmpfs                       1527604         0   1527604   0% /sys/fs/cgroup
tmpfs                       1527604       708   1526896   1% /tmp
/dev/sda1                   1515376    172140   1248212  13% /boot
/dev/dm-0                 330327632 240421552  87183456  74% /home/vikram

[root@mail2 ~]# uptime
 13:20:10 up 7 days, 19:14, 15 users,  load average: 0.21, 0.18, 0.48

[root@mail2 ~]# uname -a
Linux mail2.xxx 3.15.3-200.fc20.x86_64 #1 SMP Tue Jul 1 16:18:00 UTC 2014 x86_64 x86_64 x86_64 GNU/Linux

[root@mail2 ~]# rpm -qf `which sshfs`
fuse-sshfs-2.4-5.fc20.x86_64",,"Mount a remote location in home dir/dir through sshfs as a normal user
execute df as root
excute df as the same uaer which mounted the remote location.",,"```bash
# As a normal user
sshfs user@remote:/path/to/remote/location /home/user/mount-point
df

# As root
df
```","sshfs user@remote_host:/path/to/remote /local/mount-point
df # executed as root
df # executed as the same user which mounted the remote location","```bash
sshfs user@remote_host:/path/to/remote /home/user/someremoteloc
df
sudo df
fusermount -u /home/user/someremoteloc
```",https://bugzilla.redhat.com/show_bug.cgi?id=1121021
2236321,Ian Laurie,2023-08-30T21:47:26Z,2023-09-05T12:41:28Z,CLOSED ERRATA,unspecified,medium,Fedora,coreutils,coreutils-9.4 reverts an undesirable change to the -v option that landed in coreutils-9.3,normal,"-v option in cp and mv should behave as it did before coreutils 9.3, providing consistent verbosity","In coreutils 9.3, cp -v and mv -v started skipping messages for files not copied due to -i or -u, breaking automation scripts",Always,Use cp -v -u or mv -v -u on coreutils 9.3,"cp -v -u <source> <destination>
mv -v -u <source> <destination>
",cp -u -v file1 file2; cp -i -v file1 file2,,"```bash
cp -u -v source_file destination_file
mv -u -v source_file destination_file
```",https://bugzilla.redhat.com/show_bug.cgi?id=2236321
2236739,lnie,2023-09-01T12:34:58Z,2023-09-01T12:40:36Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,[abrt] coreutils: __clock_nanosleep(): sleep killed by SIGSEGV,,,,,,,sleep 50,,sleep 50,https://bugzilla.redhat.com/show_bug.cgi?id=2236739
2208048,Ben Woodard,2023-05-17T19:29:53Z,2023-05-17T20:28:32Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,uname -i returns unknown,normal,x86_64 (or whatever the arch is),unknown,Always,"$ rpm -q coreutils
$ uname -i","rpm -q coreutils
uname -i",uname -m,,,https://bugzilla.redhat.com/show_bug.cgi?id=2208048
2203350,Adam Williamson,2023-05-12T04:42:08Z,2023-05-14T15:29:17Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,"uname -p on Fedora 38+ says ""unknown""",normal,It should say something...more useful,"It says ""unknown""",Always,Run `uname -p`,uname -p,`uname -p`,uname -p,uname -p,https://bugzilla.redhat.com/show_bug.cgi?id=2203350
2189656,Tom Horsley,2023-04-25T20:16:52Z,2023-04-27T07:05:09Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,"uname -p now returns ""unknown"" always returned ""x86_64"" previously",normal,x86_64,unknown,Always,uname -p,uname -p,uname -p,uname -p,uname -p,https://bugzilla.redhat.com/show_bug.cgi?id=2189656
2188689,Dennis Gilmore,2023-04-21T16:37:56Z,2023-04-21T20:29:59Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,regression in uname -i from Fedora 37 to Fedora 38,normal,aarch64,unknown,Always,uname -i,uname -i,"uname -i 

This command is used to print the hardware platform name (also known as the machine hardware name). The bug report indicates that running this command on Fedora 37 returns ""aarch64"" while on Fedora 38 it returns ""unknown"". To reproduce the bug, simply run this command on both versions of Fedora and compare the output.","None

The report indicates that the issue is reproducible always but does not provide a specific command or test case beyond the `uname -i` invocation which simply reflects the observed symptom rather than a step to independently trigger or diagnose the bug. The discrepancy appears related to differences between Fedora 37 and 38, particularly with versions of coreutils, but without additional context on how these environments were set up or other environmental factors that might influence `uname -i` output, no precise test case beyond simply running `uname -i` can be identified as a means to reproduce the bug independently.",uname -i,https://bugzilla.redhat.com/show_bug.cgi?id=2188689
1646701,Hin-Tak Leung,2018-11-05T21:08:15Z,2023-04-12T07:06:31Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,nothing provides /bin/basename needed by AdobeReader_enu-9.5.5-1.i486,normal,,"- nothing provides libidn.so.11 needed by AdobeReader_enu-9.5.5-1.i486
- nothing provides /bin/basename needed by AdobeReader_enu-9.5.5-1.i486",Always,Try to install adobe acrobat reader,sudo dnf install AdobeReader_enu-9.5.5-1.i486,"```bash
dnf install AdobeReader_enu-9.5.5-1.i486
```
or 
```bash
yum install AdobeReader_enu-9.5.5-1.i486
```",,,https://bugzilla.redhat.com/show_bug.cgi?id=1646701
2175057,Michal Srb,2023-03-03T05:45:58Z,2023-03-03T05:47:32Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,[abrt] coreutils: pause(): sleep killed by SIGABRT,,,,,,,,,"sleep infinity  
kill -SIGABRT $(pgrep sleep)",https://bugzilla.redhat.com/show_bug.cgi?id=2175057
2172323,lnie,2023-02-22T00:36:35Z,2023-02-22T00:38:39Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,[abrt] coreutils: __clock_nanosleep(): sleep killed by SIGSEGV,,,,,,,sleep 500,,sleep 500,https://bugzilla.redhat.com/show_bug.cgi?id=2172323
2162873,Vladimir Benes,2023-01-21T17:13:02Z,2023-01-21T19:44:32Z,CLOSED DUPLICATE,unspecified,unspecified,Fedora,coreutils,uname -p showing unknown,normal,,,Always,"# uname -p
unknown

# arch
x86_64

# cat /proc/cpuinfo 
processor        : 0
vendor_id        : GenuineIntel
cpu family        : 6
model                : 42
model name        : Intel(R) Pentium(R) CPU G640 @ 2.80GHz","uname -p
arch
cat /proc/cpuinfo",uname -p,"None

The provided information does not contain specific instructions or commands that can be used to reproduce a coreutils bug. The discrepancy between `uname -p` and `arch` is noted, but no direct relation to a bug in coreutils is clearly established with a reproducible test case or command.",,https://bugzilla.redhat.com/show_bug.cgi?id=2162873
1830619,Matthew Crews,2020-05-03T02:49:14Z,2022-12-13T10:58:33Z,CLOSED UPSTREAM,unspecified,medium,Fedora,coreutils,"""date"" command shows wrong date format for en_US per commonly accepted United States standards",nomal,"Date should output per United States standards. IE
Sat May 02, 2020 07:44:45 PM MST","Date outputs in incorrect date format per United States standards. IE:
Sat 02 May 2020 07:44:45 PM MST",Always,"1. Set date format environment to ""en_US.UTF-8""
2. Issue ""date"" command or with ""date +%c""","LC_TIME=""en_US.UTF-8""  
date  
date +%c","```bash
LC_TIME=""en_US.UTF-8"" date
LC_TIME=""en_US.UTF-8"" date +%c
```","export LC_TIME=""en_US.UTF-8""; date +%c","```bash
LC_TIME=""en_US.UTF-8"" date +%c
```",https://bugzilla.redhat.com/show_bug.cgi?id=1830619
2150513,Walter Schug,2022-12-03T15:49:53Z,2022-12-03T16:13:28Z,CLOSED DUPLICATE,unspecified,unspecified,Fedora,coreutils,[abrt] coreutils: memset(): cat killed by SIGBUS,,,,,,,,,,https://bugzilla.redhat.com/show_bug.cgi?id=2150513
2138908,Walter Schug,2022-10-31T16:10:39Z,2022-12-03T16:13:28Z,CLOSED DUPLICATE,unspecified,unspecified,Fedora,coreutils,[abrt] coreutils: memset(): cat killed by SIGBUS,,,,,,,,,,https://bugzilla.redhat.com/show_bug.cgi?id=2138908
2124510,TommyLike,2022-09-06T11:37:18Z,2022-09-29T08:21:23Z,CLOSED NOTABUG,unspecified,low,Fedora,coreutils,Check file permission command not work on aarch64 container,normal,,,Always,"write a test.sh with content and execute
```
if [ -w ""/root"" ] ; then echo 'Success!' ; fi
```",,"```bash
docker run --rm -it registry.fedoraproject.org/fedora:37 /bin/bash -c ""echo 'if [ -w \""/root\"" ] ; then echo \'Success!\' ; fi' > test.sh; bash test.sh""

docker run --rm -it registry.fedoraproject.org/fedora:35 /bin/bash -c ""echo 'if [ -w \""/root\"" ] ; then echo \'Success!\' ; fi' > test.sh; bash test.sh""

docker run --rm -it registry.fedoraproject.org/fedora:36 /bin/bash -c ""echo 'if [ -w \""/root\"" ] ; then echo \'Success!\' ; fi' > test.sh; bash test.sh""
```","None

The provided information indicates a discrepancy in behavior between x86 and aarch64 containers but does not specify actual steps or commands that can definitively reproduce the issue within a controlled environment for debugging purposes. The mention of `test.sh` with specific content is an example rather than a precise reproduction case, as it lacks detailed context on how to set up the necessary file permissions and environment to observe the discrepancy reliably across both architectures.","```bash
if [ -w ""/root"" ] ; then echo 'Success!' ; fi
```",https://bugzilla.redhat.com/show_bug.cgi?id=2124510
2112870,Jonathan Wakely,2022-08-01T11:13:23Z,2022-08-25T07:47:34Z,CLOSED ERRATA,unspecified,unspecified,Fedora,coreutils,unexpand cannot process form feed,normal,No error.,unexpand: input line is too long,Always,$ printf '\f'  | unexpand,printf '\f'  | unexpand,"```bash
printf '\f' | unexpand
```",printf '\f' | unexpand,"```sh
printf '\f' | unexpand
```",https://bugzilla.redhat.com/show_bug.cgi?id=2112870
548834,Bruno Wolff III,2009-12-18T18:47:13Z,2022-08-23T12:38:33Z,CLOSED NOTABUG,low,medium,Fedora,coreutils,uname -i started returning unknown,normal,i386,unknown,Always,uname -i,uname -i,uname -i,,,https://bugzilla.redhat.com/show_bug.cgi?id=548834
2112593,Dimitris,2022-07-30T21:00:40Z,2022-08-08T15:19:14Z,CLOSED RAWHIDE,unspecified,unspecified,Fedora,coreutils,Error using custom ~/.dir_colors/DIR_COLORS,normal,No error.,/usr/bin/cat: /home/user/.dir_colors: Is a directory,Always,"1. mkdir ~/.dir_colors
2. cp /etc/DIR_COLORS ~/.dir_colors
3. gnome-terminal
","mkdir ~/.dir_colors
cp /etc/DIR_COLORS ~/.dir_colors
gnome-terminal","```bash
mkdir ~/.dir_colors
cp /etc/DIR_COLORS ~/.dir_colors
gnome-terminal
```","None

The steps provided in the ""Steps to Reproduce"" section contain an error that does not align with the expected outcome for reproducing the described issue. Specifically, Step 1 suggests making a directory named `.dir_colors`, which will inevitably cause `cat` or any other command expecting a file input to fail when trying to process `.dir_colors` as if it were a file, leading to the error message mentioned in the bug description.

To actually reproduce the intended behavior (creating a customizable color scheme for `ls`) and avoid the described issue, one would not create a directory but rather a file named `.dir_colors`. Since the task is specifically about identifying commands or test cases that match the provided steps (even if erroneous), ""None"" is returned as the exact command sequence given leads to an incorrect setup unrelated to the intended customization of `ls` colors via a file.","mkdir ~/.dir_colors  
cp /etc/DIR_COLORS ~/.dir_colors  
gnome-terminal",https://bugzilla.redhat.com/show_bug.cgi?id=2112593
2104212,jiri vanek,2022-07-05T19:04:46Z,2022-07-05T23:20:40Z,CLOSED DUPLICATE,unspecified,high,Fedora,coreutils,adapt coreutils to removal of java on i686,,,,,,,,,,https://bugzilla.redhat.com/show_bug.cgi?id=2104212
1993544,Andrew,2021-08-13T19:47:45Z,2022-06-07T22:27:11Z,CLOSED EOL,unspecified,unspecified,Fedora,coreutils,`tr -d` works with non-latin letters incorrectly,normal,,"`tr -d` does not delete non-latin chars as it have to.
Sed does the same correctly.",Always,"# tr does not work with non-latin
$ echo абвАБВіїІЇ | tr -d абв
���ії��
$ echo ÄÖÜäöü | tr -d [:alpha:]
ÄÖÜäöü
$ echo ÄÖÜäöü | tr -d [[:alpha:]]
ÄÖÜäöü
# tr works with latin
$ echo abcABC | tr -d [:alpha:]

$ echo abcABC | tr -d [[:alpha:]]

$

# sed works with non-latin
$ echo абвАБВіїІЇ | sed s/[абв]*//
АБВіїІЇ
$ echo абвАБВіїІЇ | sed s/[[:alpha:]]*//

$ echo ÄÖÜäöü | sed s/[[:alpha:]]*//

$","echo абвАБВіїІЇ | tr -d абв
echo ÄÖÜäöü | tr -d [:alpha:]
echo ÄÖÜäöü | tr -d [[:alpha:]]","```bash
echo абвАБВіїІЇ | tr -d абв
echo ÄÖÜäöü | tr -d [:alpha:]
echo ÄÖÜäöü | tr -d [[:alpha:]]
echo abcABC | tr -d [:alpha:]
echo abcABC | tr -d [[:alpha:]]
```","echo абвАБВіїІЇ | tr -d абв
echo ÄÖÜäöü | tr -d [:alpha:]
echo ÄÖÜäöü | tr -d [[:alpha:]]","```sh
echo абвАБВіїІЇ | tr -d абв
echo ÄÖÜäöü | tr -d [:alpha:]
echo ÄÖÜäöü | tr -d [[:alpha:]]
```",https://bugzilla.redhat.com/show_bug.cgi?id=1993544
2066546,lnie,2022-03-22T03:42:44Z,2022-03-22T07:28:39Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,[abrt] coreutils: __clock_nanosleep(): sleep killed by SIGSEGV,,,,,,,"```bash
sleep 500
```",,sleep 500,https://bugzilla.redhat.com/show_bug.cgi?id=2066546
2035258,Héctor Louzao,2021-12-23T12:11:25Z,2022-01-03T12:29:46Z,CLOSED WORKSFORME,unspecified,urgent,Fedora,coreutils,install coreutils Program Not found,normal,found in /usr/bin/install,"program not found 

another coretuils are found for example

which id
/usr/bin/id",Always,"1.install coreutils package
2.sudo /usr/bin/install
3.command not found","sudo dnf install coreutils
sudo /usr/bin/install","```bash
sudo yum install -y coreutils
sudo /usr/bin/install
```","None

The provided information does not describe a typical software bug where a specific command or set of steps can be executed to consistently produce an error. Instead, it appears that there is confusion about finding the `install` program in the expected location (`/usr/bin/install`). The reported issue seems more like a setup or installation problem rather than a reproducible coreutils bug, as indicated by the mention of a ""carpet"" (likely meant to be ""file"" or ""item"") named `install` in `/usr/bin`. Without clear steps that would reproduce an error due to a software defect, we cannot provide a specific command or test case.",,https://bugzilla.redhat.com/show_bug.cgi?id=2035258
1831575,david08741,2020-05-05T10:25:28Z,2021-11-30T16:16:10Z,CLOSED EOL,unspecified,unspecified,Fedora,coreutils,valid TZ depends on local TZ,normal,Tue 12 May 2020 12:00:00 PM CEST,date: invalid date ‘05/12/2020 11:00 CET’,Always,1.TZ=Europe/Berlin date -d '05/12/2020 11:00 CET',TZ=Europe/Berlin date -d '05/12/2020 11:00 CET',"```bash
TZ=Europe/Berlin date -d '05/12/2020 11:00 CET'
```",TZ=Europe/Berlin date -d '05/12/2020 11:00 CET',TZ=Europe/Berlin date -d '05/12/2020 11:00 CET',https://bugzilla.redhat.com/show_bug.cgi?id=1831575
749704,JW,2011-10-28T01:07:56Z,2021-11-23T15:20:48Z,CLOSED WONTFIX,unspecified,unspecified,Fedora,coreutils,date cannot easily produce lower case formatted output,normal,"1. Fri
2. FRI
3. fRI
4. fri","1. Fri
2. FRI
3. FRI
4. %/a",Always,"1. date +%a
2. date +^a
3. date +#a
4. date +%/a","date +%a
date +^a
date +#a
date +%/a","```bash
date +%a
date +%^a
date +#a
date +%/a
```","None

The provided steps in the ""Steps to Reproduce"" section do not align with the described issue since they use incorrect format specifiers that don't correspond to any valid strftime options for producing lowercase abbreviated day-of-week names directly. The reported problem focuses on the expectation of a lowercase modifier which is not currently supported and thus there isn’t a direct command sequence provided or available in coreutils as per standard usage to reproduce this specific issue related to the absence of a lower-case modifier feature.","```
date +%a
date +^a
date +#a
```",https://bugzilla.redhat.com/show_bug.cgi?id=749704
963134,Petr Šabata,2013-05-15T08:30:17Z,2021-11-23T15:18:00Z,CLOSED WONTFIX,unspecified,medium,Fedora,coreutils,fmt doesn't support unicode,,,,,,,"```bash
fmt --width=10 <<< ""$'\u4f60\u597d'"" 
```",,"echo -e ""\u4E2D\u6587\n"" | fmt -w 10",https://bugzilla.redhat.com/show_bug.cgi?id=963134
1956080,Chris Murphy,2021-05-02T15:49:53Z,2021-11-23T15:10:59Z,CLOSED ERRATA,unspecified,unspecified,Fedora,coreutils,cp --reflink=never no longer works as expected,normal,They should not be reflink copies,a and b share all extents,Always,"1. cp --reflink=never a b
2. filefrag -v a; filefrag -v b","cp --reflink=never a b
filefrag -v a; filefrag -v b","```bash
cp --reflink=never a b; filefrag -v a; filefrag -v b
```","cp --reflink=never a b
filefrag -v a; filefrag -v b","```
cp --reflink=never a b
filefrag -v a; filefrag -v b
```",https://bugzilla.redhat.com/show_bug.cgi?id=1956080
1913358,Christian Kujau,2021-01-06T15:05:43Z,2021-09-17T10:47:06Z,CLOSED ERRATA,unspecified,unspecified,Fedora,coreutils,df: /run/user/1000/doc: Operation not permitted,normal,df should exit with RC 0 and stderr should be empty.,df: /run/user/1000/doc: Operation not permitted,Always,"1. xdg-document-portal.service is running, as it is the default
2. execute df w/o for all file systems
3. RC 1","xdg-document-portal.service is running, as it is the default
execute df w/o for all file systems
RC 1",df -h > /dev/null; echo $?,df -h > /dev/null; echo $?,df -h > /dev/null; echo $?,https://bugzilla.redhat.com/show_bug.cgi?id=1913358
1992341,Samuel Bautista,2021-08-10T22:37:21Z,2021-08-11T06:45:43Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,[abrt] coreutils: _dbus_warn_check_failed(): true killed by SIGABRT,,,,,,,,,,https://bugzilla.redhat.com/show_bug.cgi?id=1992341
1982273,RobbieTheK,2021-07-14T15:19:27Z,2021-07-14T20:48:52Z,CLOSED NOTABUG,unspecified,high,Fedora,coreutils,bash: uname: command not found for root user: package coreutils-8.32-21.fc34.x86_64 conflicts with coreutils-single provided by coreutils-single-8.32-21.fc34.x86_64,,,,,,,"To reproduce this bug, you would need a system with Fedora 34 installed and then perform the following steps:

1. Upgrade the system using `dnf update` to ensure all packages are up-to-date.
2. Specifically upgrade coreutils and related packages to version 8.32-30.fc34.x86_64 if they are not already at this version, although this step might be covered by a general `dnf update`.
3. Verify the system is running kernel version 5.12.14-300.fc34.x86_64.
4. Attempt to log in as root or use `su` or `scp` to connect as root and verify that commands like `uname`, `cat`, etc., are not found.

Given these steps, a simplified test case could involve:

```bash
# Ensure the system is updated
sudo dnf update

# Check kernel version
uname -r

# Attempt to reproduce the error by logging in as root or using su/scp
su -

# Inside the su session or after logging in as root
uname
cat --version
```

This sequence checks for the presence of the issue without directly attempting to install conflicting packages, which is not straightforward due to the package manager's conflict resolution mechanisms. The critical part here is observing whether basic commands like `uname` and `cat` are recognized after switching to the root user or logging in as root via a method that might trigger the bug (e.g., `su`, `scp`).",,,https://bugzilla.redhat.com/show_bug.cgi?id=1982273
